contract A,contract B,similarity,same contract,co-clone
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/ERC721A,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7305,TRUE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/MerkleProof,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7302,FALSE,TRUE
0x0b330335c46b4a6cee8f169e163afe844486dd9f/Disperse,0x0bfdbb29e068b869670db0f25664faa29d7bdcca_opt/Ownable,0.7283,FALSE,TRUE
0x0be57c1fd12a1099ba803227b5acad8888ea2933/Ownable,0x0bfdbb29e068b869670db0f25664faa29d7bdcca_opt/Ownable,0.7279,TRUE,TRUE
0x0b98a6b45263635a50c178abad87b1db5c7a8952/ERC1155,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7276,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20Token,0x0b4f48f2dfdddec30ac52178d823982db1b96cd0_opt/ERC721,0.7266,FALSE,TRUE
0x0b8cc57314397c3452219c733ce092d37d10eaa2/SafeMath,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7257,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/TheTwist,0x0b8cc57314397c3452219c733ce092d37d10eaa2_opt/FUJI,0.7248,FALSE,TRUE
0x0b330335c46b4a6cee8f169e163afe844486dd9f/Disperse,0x01b70e308fcdf68c75f576aeb06f6e8228d9d571_opt/Ownable,0.7237,FALSE,TRUE
0x0beded78953bc0768da04cee59e23dd148a38922/Ownable,0x0beded78953bc0768da04cee59e23dd148a38922_opt/Ownable,0.7234,TRUE,TRUE
0x0baf20c9b4171b20d23c182e95152cf50591d393/ERC20,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7214,FALSE,TRUE
0x0b0c5cecf0c450380cb4179010e3cf5825ccd2c9/TanjiroInu,0x0b0c5cecf0c450380cb4179010e3cf5825ccd2c9_opt/TanjiroInu,0.7207,TRUE,TRUE
0x0be57c1fd12a1099ba803227b5acad8888ea2933/Ownable,0x0be57c1fd12a1099ba803227b5acad8888ea2933_opt/Ownable,0.7203,TRUE,TRUE
0x0b98a6b45263635a50c178abad87b1db5c7a8952/BillionaireCat,0x01c5f9163845ed9fe55e404831800b50edfcaa9f_opt/collectors,0.7182,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.7177,FALSE,TRUE
0x0b721e0bd17d27b0dda825d791842f37fded2d0a/ERC721,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/BillionaireCat,0.7174,FALSE,TRUE
0x0b98a6b45263635a50c178abad87b1db5c7a8952/BillionaireCat,0x01c5f9163845ed9fe55e404831800b50edfcaa9f_opt/ERC721COLL,0.7171,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/TheTwist,0x0b4f48f2dfdddec30ac52178d823982db1b96cd0_opt/ERC721,0.7157,FALSE,TRUE
0x01b70e308fcdf68c75f576aeb06f6e8228d9d571/Ownable,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/Ownable,0.7146,TRUE,TRUE
0x0be57c1fd12a1099ba803227b5acad8888ea2933/Ownable,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/Ownable,0.7135,TRUE,TRUE
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/ERC721A,0x01b70e308fcdf68c75f576aeb06f6e8228d9d571_opt/Ownable,0.7134,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20,0x0b4f48f2dfdddec30ac52178d823982db1b96cd0_opt/ERC721,0.7128,FALSE,TRUE
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/Pumkins,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.7125,FALSE,TRUE
0x0be57c1fd12a1099ba803227b5acad8888ea2933/Ownable,0x01b70e308fcdf68c75f576aeb06f6e8228d9d571_opt/Ownable,0.7124,TRUE,TRUE
0x0b330335c46b4a6cee8f169e163afe844486dd9f/Disperse,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/Ownable,0.7122,FALSE,TRUE
0x0b4f48f2dfdddec30ac52178d823982db1b96cd0/NFT,0x0b330335c46b4a6cee8f169e163afe844486dd9f_opt/Disperse,0.7116,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/TheTwist,0x0b721e0bd17d27b0dda825d791842f37fded2d0a_opt/ERC721,0.7116,FALSE,TRUE
0x0b4f48f2dfdddec30ac52178d823982db1b96cd0/ERC721,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/BillionaireCat,0.7114,FALSE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/ERC721COLL,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.7114,FALSE,TRUE
0x01da4b9d0814b02eea19041327e1f445929061ed/Strings,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.711,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/Ownable,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.7108,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20,0x0b721e0bd17d27b0dda825d791842f37fded2d0a_opt/ERC721,0.7101,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/Ownable,0.7095,FALSE,TRUE
0x0be57c1fd12a1099ba803227b5acad8888ea2933/Nakama,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7084,FALSE,TRUE
0x0baf20c9b4171b20d23c182e95152cf50591d393/Greed,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.7081,FALSE,TRUE
0x01b70e308fcdf68c75f576aeb06f6e8228d9d571/Ownable,0x0be57c1fd12a1099ba803227b5acad8888ea2933_opt/Ownable,0.7079,TRUE,TRUE
0x0baf20c9b4171b20d23c182e95152cf50591d393/Greed,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.7074,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/Ownable,0x01c5f9163845ed9fe55e404831800b50edfcaa9f_opt/collectors,0.7055,FALSE,TRUE
0x0be57c1fd12a1099ba803227b5acad8888ea2933/Nakama,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.7042,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20Token,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/ERC20,0.7038,FALSE,TRUE
0x0b98a6b45263635a50c178abad87b1db5c7a8952/ERC1155,0x0b330335c46b4a6cee8f169e163afe844486dd9f_opt/Disperse,0.7034,FALSE,TRUE
0x0b4f48f2dfdddec30ac52178d823982db1b96cd0/Strings,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.703,FALSE,TRUE
0x0be57c1fd12a1099ba803227b5acad8888ea2933/Ownable,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.7028,FALSE,TRUE
0x0b98a6b45263635a50c178abad87b1db5c7a8952/BillionaireCat,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/Greed,0.7021,FALSE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/MerkleProof,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.7021,FALSE,TRUE
0x0bfdbb29e068b869670db0f25664faa29d7bdcca/Ownable,0x0bfdbb29e068b869670db0f25664faa29d7bdcca_opt/Ownable,0.7013,TRUE,TRUE
0x0be57c1fd12a1099ba803227b5acad8888ea2933/Nakama,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/BillionaireCat,0.7002,FALSE,TRUE
0x0bfdbb29e068b869670db0f25664faa29d7bdcca/Ownable,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/Ownable,0.7,TRUE,TRUE
0x0b8cc57314397c3452219c733ce092d37d10eaa2/SafeMath,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.6987,FALSE,TRUE
0x0bfdbb29e068b869670db0f25664faa29d7bdcca/SafeMath,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.6985,FALSE,TRUE
0x0b330335c46b4a6cee8f169e163afe844486dd9f/Disperse,0x0b330335c46b4a6cee8f169e163afe844486dd9f_opt/Disperse,0.6979,TRUE,TRUE
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/ERC721A,0x0be57c1fd12a1099ba803227b5acad8888ea2933_opt/Ownable,0.6979,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/Ownable,0x01c5f9163845ed9fe55e404831800b50edfcaa9f_opt/ERC721COLL,0.6973,FALSE,TRUE
0x0be57c1fd12a1099ba803227b5acad8888ea2933/Ownable,0x0beded78953bc0768da04cee59e23dd148a38922_opt/Ownable,0.6965,TRUE,TRUE
0x0beded78953bc0768da04cee59e23dd148a38922/Wabisabi,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/Greed,0.6963,FALSE,TRUE
0x0bfdbb29e068b869670db0f25664faa29d7bdcca/Ownable,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.6954,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20,0x0b8cc57314397c3452219c733ce092d37d10eaa2_opt/FUJI,0.6954,FALSE,TRUE
0x0b0c5cecf0c450380cb4179010e3cf5825ccd2c9/TanjiroInu,0x0be57c1fd12a1099ba803227b5acad8888ea2933_opt/Nakama,0.6942,FALSE,TRUE
0x0baf20c9b4171b20d23c182e95152cf50591d393/Greed,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.6928,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/Greed,0.6927,FALSE,TRUE
0x0b721e0bd17d27b0dda825d791842f37fded2d0a/Counters,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.6922,FALSE,TRUE
0x01b70e308fcdf68c75f576aeb06f6e8228d9d571/SafeMath,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.6921,FALSE,TRUE
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/Address,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.6919,FALSE,TRUE
0x0b330335c46b4a6cee8f169e163afe844486dd9f/Disperse,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.6911,FALSE,TRUE
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/Pumkins,0x0b330335c46b4a6cee8f169e163afe844486dd9f_opt/Disperse,0.6902,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/Ownable,0x0b721e0bd17d27b0dda825d791842f37fded2d0a_opt/ERC721,0.6902,FALSE,TRUE
0x0beded78953bc0768da04cee59e23dd148a38922/Ownable,0x0b721e0bd17d27b0dda825d791842f37fded2d0a_opt/ERC721,0.6901,FALSE,TRUE
0x0b721e0bd17d27b0dda825d791842f37fded2d0a/FatBoyClubNFT,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/Greed,0.6898,FALSE,TRUE
0x01b70e308fcdf68c75f576aeb06f6e8228d9d571/Ownable,0x0b721e0bd17d27b0dda825d791842f37fded2d0a_opt/ERC721,0.6882,FALSE,TRUE
0x0b721e0bd17d27b0dda825d791842f37fded2d0a/Address,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.688,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/ERC20,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/ERC20Token,0.6877,FALSE,TRUE
0x0beded78953bc0768da04cee59e23dd148a38922/Ownable,0x0e32e69c06856eba5909dd638839edaf92f524d3_opt/Ownable,0.6876,TRUE,TRUE
0x0beded78953bc0768da04cee59e23dd148a38922/Ownable,0x01b70e308fcdf68c75f576aeb06f6e8228d9d571_opt/Ownable,0.6872,TRUE,TRUE
0x0b330335c46b4a6cee8f169e163afe844486dd9f/Disperse,0x0be57c1fd12a1099ba803227b5acad8888ea2933_opt/Ownable,0.686,FALSE,TRUE
0x0b721e0bd17d27b0dda825d791842f37fded2d0a/Strings,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.6859,FALSE,TRUE
0x0b4f48f2dfdddec30ac52178d823982db1b96cd0/Strings,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.6856,FALSE,TRUE
0x01b70e308fcdf68c75f576aeb06f6e8228d9d571/Ownable,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.6856,FALSE,TRUE
0x0be57c1fd12a1099ba803227b5acad8888ea2933/Ownable,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.685,FALSE,TRUE
0x0b4f48f2dfdddec30ac52178d823982db1b96cd0/Address,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.685,FALSE,TRUE
0x0beded78953bc0768da04cee59e23dd148a38922/Ownable,0x01c5f9163845ed9fe55e404831800b50edfcaa9f_opt/collectors,0.6848,FALSE,TRUE
0x0bfdbb29e068b869670db0f25664faa29d7bdcca/Ownable,0x0be57c1fd12a1099ba803227b5acad8888ea2933_opt/Ownable,0.6845,TRUE,TRUE
